id,price
100000,4118938.5056175683
100001,7550169.320734693
100002,4044705.052906407
100003,1907669.463583392
100004,2937844.0703569516
100005,4317649.086666776
100006,6040771.011457839
100007,5040846.897549475
100008,12815622.622166816
100009,2036015.4864748186
100010,6877598.131243445
100011,2271768.525867471
100012,2062587.2252930056
100013,2703362.174211161
100014,4823021.696587121
100015,30858893.084509443
100016,7555632.401049161
100017,3112077.1419486837
100018,4359601.553333832
100019,2856644.4148918735
100020,2037555.0004172157
100021,5270987.005017404
100022,7196929.049513417
100023,3858958.5478507383
100024,6795862.761670502
100025,4021223.1878942386
100026,8768619.457734339
100027,2994148.7618716536
100028,3757034.5700327717
100029,2378348.9262826974
100030,1934696.5698785842
100031,7819019.425962937
100032,3317464.0396975162
100033,4127374.873513169
100034,2300737.4393531806
100035,18588756.29657154
100036,1382294.6012188646
100037,2126669.7695903154
100038,3210252.3159378255
100039,3258428.397983555
100040,1595370.0842164792
100041,8688559.372917159
100042,3352964.651243611
100043,9736878.99223653
100044,6862943.800089626
100045,972643.1199296364
100046,3001761.7938868213
100047,2853155.8791862554
100048,2061789.2004814618
100049,6464903.089064273
100050,8203918.919731999
100051,2287079.262926887
100052,2704327.02859506
100053,8485430.443895634
100054,3341866.8689562674
100055,1876467.4254390276
100056,1896042.2098952117
100057,5305365.399124244
100058,4884579.814340969
100059,9213489.088063937
100060,13822604.544015165
100061,4565922.820256409
100062,2114636.851909838
100063,8699006.29875472
100064,6401654.420308147
100065,3675759.870453823
100066,7968307.42048788
100067,3222064.2945617316
100068,2172021.0142534734
100069,1674176.5636244363
100070,3002530.6681476487
100071,4904686.979082945
100072,34407908.79602044
100073,2510083.6560570407
100074,2896636.166006741
100075,4948227.107279939
100076,5997179.661954335
100077,1898803.341988627
100078,6794646.956796359
100079,4215545.432948963
100080,1482413.6669072637
100081,6666601.898755252
100082,6139034.5134164
100083,2400450.205168586
100084,3535798.732799451
100085,4967158.889422439
100086,2602095.221668268
100087,7486971.205262225
100088,6845474.106070478
100089,7055050.57479273
100090,6663599.213784197
100091,1730033.4058535143
100092,3077152.5278870217
100093,3025053.024407733
100094,4132425.63708534
100095,2117905.9931256236
100096,3655400.6612097477
100097,3178371.7858470995
100098,3190493.7090871637
100099,4276117.312257942
100100,6944700.364539672
100101,2079579.0983192748
100102,7276643.497965617
100103,5274982.501284351
100104,1031452.0845575854
100105,7070518.6599189285
100106,4176597.834317037
100107,5996732.190789582
100108,3499398.8040870954
100109,4335833.408401117
100110,2809442.1725619514
100111,5834864.754899931
100112,4590455.960321367
100113,5194657.847233838
100114,5018311.899389566
100115,6384597.007077638
100116,6125402.864271912
100117,2687050.7965024556
100118,5760739.018030971
100119,2691139.6486386904
100120,1628370.9135758998
100121,2359738.05016137
100122,5190427.609982045
100123,5835648.566431286
100124,8300578.5683914935
100125,6387719.093516355
100126,1346101.3340889353
100127,3419006.2168697384
100128,4076204.4482119246
100129,6847129.783403282
100130,1563254.0023023773
100131,5124120.105969771
100132,21789198.100142814
100133,1760919.8119930062
100134,2626310.8233578163
100135,3212860.8461974147
100136,7815043.197999862
100137,3238262.3749344083
100138,3876382.166713545
100139,4446009.542341476
100140,2319750.4790960583
100141,5583224.088814803
100142,4076449.527383253
100143,2215149.149335667
100144,5382133.210282515
100145,5268828.144306656
100146,6035832.470321166
100147,3225384.583164682
100148,4605424.141958942
100149,4840613.69475662
100150,3913699.4897219613
100151,3893939.3963771067
100152,6671613.855092025
100153,2627626.5006012693
100154,4200014.7532436
100155,1667813.6134534213
100156,9334612.706539428
100157,2451504.1548257875
100158,2364517.3621316864
100159,6293748.718899847
100160,3611672.582214958
100161,6572535.744597551
100162,6383341.967994317
100163,1310298.6582552802
100164,1421214.651298438
100165,7152068.9985476
100166,11557110.53837215
100167,2636746.791566707
100168,2128682.3442260376
100169,4182175.3578603934
100170,7690687.030755867
100171,1754863.1766755797
100172,3549900.424229927
100173,6481295.01641095
100174,8031596.315587405
100175,4093587.9868164756
100176,3860404.746333393
100177,4836722.291495128
100178,1589572.866829727
100179,3829787.803417223
100180,5326592.368384617
100181,12272147.213420277
100182,5042878.782731115
100183,28739709.78214442
100184,5660433.151683183
100185,10676707.707807267
100186,7023412.9347608555
100187,8610662.69966684
100188,5039359.346382824
100189,3815636.4751111516
100190,11185949.476476667
100191,3083915.2595018996
100192,3079202.165056092
100193,4486327.3675262015
100194,4032027.617894938
100195,3200780.567509963
100196,4837084.528196888
100197,5222985.796458309
100198,6318597.0612943405
100199,2612117.335972536
100200,3788357.014430685
100201,4274984.709285889
100202,12918881.469099961
100203,8991571.045365997
100204,3434317.6316987113
100205,3858812.9459913354
100206,4120701.216733589
100207,6199033.036355097
100208,3618607.786417479
100209,7886725.25429863
100210,4358269.201121029
100211,8945939.71878121
100212,3215896.1399686635
100213,4341264.125625905
100214,7010545.650456005
100215,8244910.870802305
100216,6825868.725517005
100217,5353853.21653221
100218,2975313.2481896463
100219,3179992.4253593925
100220,5715466.768213552
100221,3504366.3142196913
100222,3035936.6621188363
100223,1208758.2171977805
100224,3562953.332589201
100225,4907251.269308166
100226,3813420.5306520485
100227,4059073.824653954
100228,1983807.8862842324
100229,2811988.9653056595
100230,8868165.141512351
100231,8184216.922729601
100232,6620769.250126683
100233,4940708.833363541
100234,8767737.056930102
100235,4906463.675421205
100236,4469330.007593163
100237,7498313.0270183785
100238,3587513.7272261446
100239,5211459.082057153
100240,2326748.638877786
100241,8131511.537866294
100242,6114274.433459173
100243,3214181.0215109633
100244,2827564.052292242
100245,7684776.127275631
100246,3130696.2879463756
100247,13309855.387486726
100248,5479916.356936229
100249,8166289.339073025
100250,5650884.814843223
100251,9255770.709420012
100252,4100962.3200499276
100253,4089829.9967777496
100254,1232582.833209784
100255,21343209.706383154
100256,4843505.0469984105
100257,3682885.1179603646
100258,6490710.634391064
100259,3200508.322205496
100260,4336265.360709051
100261,12885817.95151895
100262,4142356.3272294356
100263,9195045.150779974
100264,3419903.3491968187
100265,8640093.206336081
100266,10958662.17763778
100267,3564140.5408190866
100268,9247977.173319127
100269,13422552.76363483
100270,2191754.412579169
100271,3979698.7353079054
100272,10090595.154166916
100273,14469819.336411519
100274,5513653.559197614
100275,27469441.169547066
100276,3817100.3252401273
100277,2483978.0848162505
100278,18943756.46070422
100279,5513783.977798625
100280,6507472.140222278
100281,2787439.9000936714
100282,7830259.398546269
100283,10046190.846998487
100284,2196180.677598866
100285,2545875.5649945876
100286,3625435.2827637177
100287,5115579.280857048
100288,1924467.9825266018
100289,1737274.0960354998
100290,2153533.7036239137
100291,4117927.323418472
100292,5031899.14918243
